ID,Name,Price,"Quantity on Hand"
510,"Cinnamon Satin Nightstand",$81.99,24
511,"Italian sky blue Dresser",$699.99,63
512,"Mystic maroon Dining Table",$800,18
513,"Café au lait Loveseat",$269.99,100
514,"Pewter Blue Futon",$219.99,28
515,"Key lime Reclining Sofa","$1,119.99",20
516,"Peach Futon",$219.99,18
517,"Rose ebony Bed",$389.99,68
518,"Rose red Sofa",$649.99,57
519,"Candy pink Plant Stand",$42.99,57
520,"Cardinal Bench",$114.99,26
521,"French raspberry Wardrobe",$719.99,9
522,"Black bean Stool",$54.99,19
523,"Ash gray Headboard",$222.99,32
524,"Mountbatten pink Chaise Lounge",$235.99,30
525,"Maximum yellow Reclining Loveseat","$1,023.99",6
526,"Upsdell red Storage Bench",$194.99,87
527,"Thulian pink Daybed",$311.99,87
528,"Amaranth red Chaise Lounge",$235.99,11
529,"Electric violet Futon",$219.99,16
530,"Avocado Loveseat",$269.99,53
531,"Bittersweet shimmer Wardrobe",$719.99,53
532,"Onyx Sofa",$649.99,35
533,"Mango Tango Nightstand",$81.99,58
534,"Mellow apricot Sleeper Sofa","$1,279.99",48
535,"Silver chalice Reclining Loveseat","$1,023.99",1
536,"Bright lilac End Table",$39.99,55
537,"Maximum red Plant Stand",$42.99,73
538,"Sienna Reclining Sofa","$1,119.99",98
539,"Olivine Dining Chair",$89.99,47
540,"Plum Bed",$389.99,90
541,"Artichoke Bench",$114.99,20
542,"Dark orange Ottoman",$52.99,31
543,"Pumpkin Bench",$114.99,49
544,"Sunray gold Stool",$54.99,49
545,"Dark moss green Sleeper Sofa","$1,279.99",16
546,"Pearly purple Chaise Lounge",$235.99,87
547,"Stil de grain yellow Coffee Table",$200,0
548,"French bistre Sofa",$649.99,46
549,"Field drab Chaise Lounge",$235.99,96
550,"Rose quartz Stool",$54.99,32
551,"Mellow apricot Daybed",$311.99,52
552,"Winter Sky Dining Table",$800,54
553,"Wine dregs maroon Dresser",$699.99,82
554,"Bitter lime Plant Stand",$42.99,33
555,"Han blue Bed",$389.99,93
556,"Dark cyan Stool",$54.99,8
557,"Mint green Plant Stand",$42.99,90
558,"Bright navy blue Daybed",$311.99,50
559,"Ebony Headboard",$222.99,95
560,"Flame Plant Stand",$42.99,47
561,"Citrine Bed",$389.99,8
562,"Persian pink Bench",$114.99,66
563,"Raspberry Storage Bench",$194.99,13
564,"French violet Bench",$114.99,99
565,"Light yellow Dining Chair",$89.99,23
566,"Dim gray Nightstand",$81.99,95
567,"Gray Reclining Sofa","$1,119.99",45
568,"Columbia Blue Sleeper Sofa","$1,279.99",58
569,"Hansa yellow Futon",$219.99,99
570,"Teal Ottoman",$52.99,1
571,"Wild Strawberry Plant Stand",$42.99,86
572,"Desert Ottoman",$52.99,0
573,"Indigo Bed",$389.99,60
574,"Light French beige Daybed",$311.99,99
575,"Medium aquamarine Reclining Sofa","$1,119.99",97
576,"Sandy brown Sofa",$649.99,71
577,"Amazon green Daybed",$311.99,64
578,"Desert Headboard",$222.99,11
579,"Cotton candy Bed",$389.99,55
580,"Asparagus green Futon",$219.99,91
581,"Copper red Headboard",$222.99,17
582,"Cornflower blue Wardrobe",$719.99,64
583,"Violet Dining Table",$800,5
584,"Quinacridone magenta Storage Bench",$194.99,23
585,"Vivid tangerine Dresser",$699.99,96
586,"Pale purple Sleeper Sofa","$1,279.99",88
587,"Coffee Chaise Lounge",$235.99,1
588,"Burnt orange Bench",$114.99,61
589,"Iceberg Nightstand",$81.99,61
590,"Dark moss green Plant Stand",$42.99,87
591,"English vermillion Crib",$289,22
592,"Rose red Sectional","$1,039.99",11
593,"Imperial red Chaise Lounge",$235.99,92
594,"Honolulu blue Crib",$289,100
595,"Silver pink Storage Bench",$194.99,89
596,"Cadmium yellow Wardrobe",$719.99,67
597,"French violet Plant Stand",$42.99,95
598,"Navajo white Reclining Loveseat","$1,023.99",11
599,"Linen Sectional","$1,039.99",14
600,"Russian violet Storage Bench",$194.99,98
601,"MSU green Storage Bench",$194.99,54
602,"International orange Reclining Loveseat","$1,023.99",78
603,"Mellow yellow Crib",$289,44
604,"Purple mountain majesty End Table",$39.99,6
605,"Sage green Dining Table",$800,93
606,"Naples yellow Plant Stand",$42.99,33
607,"Sand Wardrobe",$719.99,88
608,"Dark salmon Dining Table",$800,19
609,"Desert Loveseat",$269.99,45
610,"Light slate gray Bed",$389.99,89
611,"Wild Strawberry Bench",$114.99,70
612,"Taupe gray Daybed",$311.99,75
613,"Shamrock green Futon",$219.99,76
614,"Spring Frost Stool",$54.99,77
615,"Goldenrod Bed",$389.99,81
616,"Strawberry Sofa",$649.99,8
617,"Onyx End Table",$39.99,35
618,"Light yellow Plant Stand",$42.99,81
619,"Gold Fusion Loveseat",$269.99,92
620,"Rosy brown Storage Bench",$194.99,18
621,"St. Patrick's blue Loveseat",$269.99,54
622,"Pine green Daybed",$311.99,99
623,"Red-purple End Table",$39.99,84
624,"Spanish orange Dining Chair",$89.99,69
625,"Spanish blue Chaise Lounge",$235.99,9
626,"Ash gray Storage Bench",$194.99,74
627,"Dark purple Stool",$54.99,22
628,"Opal Stool",$54.99,81
629,"Black olive Chaise Lounge",$235.99,98
630,"Chrome yellow Reclining Sofa","$1,119.99",60
631,"Spanish green Futon",$219.99,71
632,"Silver sand Dining Table",$800,5
633,"Tuscan red Nightstand",$81.99,65
634,"Medium spring green Dining Chair",$89.99,20
635,"Jungle green Ottoman",$52.99,46
636,"Ebony Bench",$114.99,71
637,"Coral Ottoman",$52.99,2
638,"Egyptian blue Stool",$54.99,36
639,"Vivid violet Dining Table",$800,27
640,"Old gold Plant Stand",$42.99,0
641,"Bitter lime Headboard",$222.99,56
642,"Denim Crib",$289,14
643,"Black coffee Futon",$219.99,96
644,"Cosmic cobalt Dresser",$699.99,67
645,"Winter Sky Dining Table",$800,29
646,"Maximum blue Futon",$219.99,90
647,"Quinacridone magenta Stool",$54.99,83
648,"Puce Coffee Table",$200,40
649,"Lime green Reclining Loveseat","$1,023.99",61
650,"Pictorial carmine End Table",$39.99,5
651,"Old silver Storage Bench",$194.99,36
652,"Fire engine red Daybed",$311.99,81
653,"French mauve Reclining Sofa","$1,119.99",56
654,"Army green Nightstand",$81.99,32
655,"Morning blue Ottoman",$52.99,63
656,"Yale Blue Bed",$389.99,57
657,"Pakistan green Reclining Loveseat","$1,023.99",11
658,"Snow white Coffee Table",$200,5
659,"Solid pink Headboard",$222.99,74
660,"Slate gray Bed",$389.99,63
661,"Mahogany Headboard",$222.99,100
662,"Sage green Dining Table",$800,4
663,"Battleship grey Dresser",$699.99,63
664,"Auburn Futon",$219.99,5
665,"Mustard yellow Reclining Loveseat","$1,023.99",69
666,"Medium candy apple red Chaise Lounge",$235.99,23
667,"Lemon yellow Bed",$389.99,24
668,"Bleu de France Sofa",$649.99,74
669,"Light sky blue Dresser",$699.99,32
670,"Maximum red purple Dining Table",$800,99
671,"USAFA blue Bed",$389.99,80
672,"Maximum red Wardrobe",$719.99,33
673,"Wine dregs maroon Wardrobe",$719.99,4
674,"Arctic lime Plant Stand",$42.99,52
675,"Steel Teal Plant Stand",$42.99,73
676,"Cosmic cobalt Bench",$114.99,35
677,"Little boy blue Reclining Loveseat","$1,023.99",8
678,"Magic mint End Table",$39.99,88
679,"Deep taupe Loveseat",$269.99,51
680,"Baby pink Headboard",$222.99,59
681,"Upsdell red Futon",$219.99,34
682,"Light goldenrod yellow Loveseat",$269.99,37
683,"Shamrock green Futon",$219.99,78
684,"Pastel pink Dining Chair",$89.99,55
685,"Tomato red End Table",$39.99,38
686,"Tomato red Bench",$114.99,88
687,"Melon pink Sofa",$649.99,57
688,"Orange Reclining Loveseat","$1,023.99",27
689,"Radical Red Storage Bench",$194.99,86
690,"British racing green Nightstand",$81.99,40
691,"Dark chocolate Wardrobe",$719.99,99
692,"Dark salmon Headboard",$222.99,9
693,"Big dip o’ruby Sofa",$649.99,83
694,"Midnight green Stool",$54.99,24
695,"Pale silver Coffee Table",$200,95
696,"Dark khaki Daybed",$311.99,91
697,"Olive Drab Dining Chair",$89.99,25
698,"Trypan Blue Sofa",$649.99,78
699,"Celtic blue Daybed",$311.99,57
700,"Raspberry rose Dining Table",$800,63
701,"Wild Strawberry Chaise Lounge",$235.99,88
702,"Sweet Brown Dresser",$699.99,18
703,"Vanilla ice Coffee Table",$200,65
704,"Taupe Coffee Table",$200,44
705,"Rose vale Reclining Sofa","$1,119.99",80
706,"Persian orange Loveseat",$269.99,79
707,"Alloy orange Daybed",$311.99,68
708,"Lemon Plant Stand",$42.99,89
709,"Neon blue Coffee Table",$200,78
710,"Platinum Plant Stand",$42.99,1
711,"Cinnabar Dresser",$699.99,99
712,"Wisteria purple Sleeper Sofa","$1,279.99",21
713,"Olive Chaise Lounge",$235.99,45
714,"Dark jungle green Daybed",$311.99,43
715,"French rose Nightstand",$81.99,82
716,"India green Dresser",$699.99,63
717,"Morning blue Sectional","$1,039.99",76
718,"Windsor tan Loveseat",$269.99,81
719,"Wild watermelon Headboard",$222.99,60
720,"Schauss pink Dresser",$699.99,52
721,"Tyrian purple Ottoman",$52.99,24
722,"Saffron Sofa",$649.99,37
723,"Dartmouth green Reclining Sofa","$1,119.99",17
724,"Apricot Reclining Sofa","$1,119.99",89
725,"Blue Coffee Table",$200,51
726,"Rocket metallic Crib",$289,79
727,"Deep cerise Sofa",$649.99,70
728,"Electric purple Sectional","$1,039.99",73
729,"Granny Smith apple Sleeper Sofa","$1,279.99",75
730,"MSU green Headboard",$222.99,19
731,"Artichoke Reclining Loveseat","$1,023.99",60
732,"Magic mint Chaise Lounge",$235.99,85
733,"Sapphire Nightstand",$81.99,100
734,"Golden poppy Futon",$219.99,86
735,"Android green Coffee Table",$200,86
736,"Cinnabar Bench",$114.99,56
737,"Robin egg blue Chaise Lounge",$235.99,29
738,"Light green Dining Chair",$89.99,48
739,"Mode beige Coffee Table",$200,22
740,"Flax Sofa",$649.99,7
741,"Ming Sectional","$1,039.99",43
742,"Indigo dye Nightstand",$81.99,60
743,"Star command blue Dresser",$699.99,27
744,"UA red Plant Stand",$42.99,43
745,"Periwinkle End Table",$39.99,43
746,"Antique white Chaise Lounge",$235.99,80
747,"Rose pink Bench",$114.99,89
748,"KSU purple Daybed",$311.99,4
749,"Shadow blue Ottoman",$52.99,66
750,"Deep chestnut Dining Chair",$89.99,53
751,"Desert Futon",$219.99,39
752,"Cobalt blue Dining Chair",$89.99,65
753,"Aero blue Bed",$389.99,35
754,"Sonic silver Sectional","$1,039.99",58
755,"Chartreuse Plant Stand",$42.99,75
756,"Dark violet Crib",$289,49
757,"Cinnabar Dining Table",$800,46
758,"Opal Sectional","$1,039.99",12
759,"Process yellow End Table",$39.99,22
760,"Mauve taupe Futon",$219.99,88
761,"Amazon green Sectional","$1,039.99",43
762,"Forest green Sofa",$649.99,73
763,"Outrageous Orange Futon",$219.99,67
764,"Ghost white Stool",$54.99,79
765,"Rojo Spanish red Bench",$114.99,58
766,"Royal blue Plant Stand",$42.99,2
767,"Baby pink Daybed",$311.99,37
768,"Dark blue-gray Dining Table",$800,4
769,"Corn Bench",$114.99,28
770,"Trypan Blue Ottoman",$52.99,76
771,"Plum Futon",$219.99,93
772,"Plump Purple End Table",$39.99,35
773,"Mustard yellow Loveseat",$269.99,78
774,"Dark purple Bench",$114.99,9
775,"Shocking pink Sleeper Sofa","$1,279.99",72
776,"Khaki Wardrobe",$719.99,99
777,"Light sea green Reclining Loveseat","$1,023.99",73
778,"Psychedelic purple Futon",$219.99,71
779,"French mauve Futon",$219.99,88
780,"French lilac Stool",$54.99,83
781,"Burgundy Wardrobe",$719.99,50
782,"Red-purple End Table",$39.99,43
783,"Neon blue Sleeper Sofa","$1,279.99",93
784,"Medium purple Plant Stand",$42.99,40
785,"Alice blue Crib",$289,47
786,"Middle red Sofa",$649.99,16
787,"Tiffany Blue End Table",$39.99,21
788,"Amber Reclining Sofa","$1,119.99",20
789,"Medium slate blue Sleeper Sofa","$1,279.99",37
790,"Coyote brown End Table",$39.99,34
791,"Blue-violet Dining Table",$800,27
792,"Lemon yellow Coffee Table",$200,27
793,"Bright yellow Bed",$389.99,38
794,"Ocean Blue Sofa",$649.99,33
795,"Azure Futon",$219.99,46
796,"Cyan Headboard",$222.99,61
797,"Violet-blue Bench",$114.99,26
798,"Languid lavender Nightstand",$81.99,55
799,"Bright green End Table",$39.99,42
800,"Purple navy Futon",$219.99,33
801,"Orchid Bed",$389.99,65
802,"Process yellow Daybed",$311.99,89
803,"Warm black Wardrobe",$719.99,85
804,"Golden yellow Futon",$219.99,18
805,"Purple Plum Chaise Lounge",$235.99,27
806,"Terra cotta Stool",$54.99,1
807,"Charcoal Coffee Table",$200,57
808,"White Futon",$219.99,19
809,"Silver pink Dresser",$699.99,76
810,"Sunset Sofa",$649.99,30
811,"Burgundy Futon",$219.99,56
812,"Persian rose Dining Table",$800,72
813,"UP maroon Ottoman",$52.99,60
814,"Cardinal Stool",$54.99,10
815,"Dark olive green Coffee Table",$200,92
816,"Dartmouth green Stool",$54.99,70
817,"Dark brown Daybed",$311.99,17
818,"Redwood Storage Bench",$194.99,67
819,"Tea rose Dresser",$699.99,21
820,"Tangerine Storage Bench",$194.99,14
821,"Light yellow Nightstand",$81.99,90
822,"Flame Daybed",$311.99,37
823,"Yellow Headboard",$222.99,73
824,"Macaroni and Cheese Storage Bench",$194.99,50
825,"Taupe gray Headboard",$222.99,61
826,"Indian red Chaise Lounge",$235.99,67
827,"Middle red Reclining Loveseat","$1,023.99",26
828,"Rifle green Dining Chair",$89.99,78
829,"Lemon yellow Headboard",$222.99,28
830,"Antique fuchsia End Table",$39.99,23
831,"Khaki Sofa",$649.99,61
832,"Maya blue Daybed",$311.99,83
833,"Deep saffron Dining Table",$800,71
834,"Dark chocolate Reclining Loveseat","$1,023.99",11
835,"Dark salmon Dresser",$699.99,40
836,"Brown Sofa",$649.99,68
837,"Pumpkin Chaise Lounge",$235.99,100
838,"Electric lime Bed",$389.99,68
839,"KSU purple Sleeper Sofa","$1,279.99",21
840,"United Nations blue Coffee Table",$200,58
841,"Rose taupe Stool",$54.99,59
842,"Fandango pink Dining Table",$800,36
843,"Olive green Sleeper Sofa","$1,279.99",73
844,"Cadet grey Bench",$114.99,61
845,"Paris Green Sectional","$1,039.99",63
846,"Fern green Loveseat",$269.99,35
847,"Cadmium yellow Chaise Lounge",$235.99,12
848,"Corn Storage Bench",$194.99,76
849,"Mellow apricot Nightstand",$81.99,90
850,"Wild orchid Storage Bench",$194.99,91
851,"Hot magenta Nightstand",$81.99,61
852,"Sunray gold Chaise Lounge",$235.99,73
853,"Kombu green Daybed",$311.99,75
854,"Amaranth red Sofa",$649.99,29
855,"Copper red End Table",$39.99,51
856,"Bleu de France Sleeper Sofa","$1,279.99",4
857,"Violet Sofa",$649.99,80
858,"Chartreuse Dresser",$699.99,57
859,"Beau blue Stool",$54.99,78
860,"Scarlet Futon",$219.99,63
861,"Han blue Reclining Sofa","$1,119.99",36
862,"Shamrock green Wardrobe",$719.99,10
863,"Dark moss green End Table",$39.99,31
864,"Mustard yellow Coffee Table",$200,11
865,"Sky magenta End Table",$39.99,35
866,"Dark purple Reclining Loveseat","$1,023.99",24
867,"Flame Dresser",$699.99,96
868,"Japanese violet Headboard",$222.99,58
869,"Olive Drab Ottoman",$52.99,18
870,"Violet-blue Crib",$289,9
871,"Old lavender Futon",$219.99,12
872,"Ivory Dresser",$699.99,69
873,"Blue sapphire Plant Stand",$42.99,74
874,"Myrtle Bench",$114.99,19
875,"Palatinate purple Bed",$389.99,58
876,"French violet Coffee Table",$200,38
877,"Razzle dazzle rose Sleeper Sofa","$1,279.99",55
878,"Taupe gray Dining Chair",$89.99,96
879,"Old lavender Nightstand",$81.99,67
880,"Lemon glacier End Table",$39.99,67
881,"Cornflower blue Nightstand",$81.99,9
882,"Bright navy blue Crib",$289,41
883,"Pale spring bud Storage Bench",$194.99,8
884,"Sunglow Daybed",$311.99,0
885,"Olive green Sofa",$649.99,50
886,"Sacramento State green Plant Stand",$42.99,21
887,"Magic mint Storage Bench",$194.99,83
888,"Naples yellow Dining Chair",$89.99,46
889,"Vanilla ice Sectional","$1,039.99",55
890,"Eggshell Bed",$389.99,16
891,"Charcoal Crib",$289,49
892,"UP maroon Nightstand",$81.99,64
893,"Bright maroon Coffee Table",$200,14
894,"African violet Reclining Loveseat","$1,023.99",26
895,"Baby blue Crib",$289,49
896,"Tea rose Crib",$289,32
897,"Pale silver End Table",$39.99,12
898,"English red Storage Bench",$194.99,47
899,"Tart Orange Coffee Table",$200,42
900,"Uranian blue Stool",$54.99,19
901,"Light green Ottoman",$52.99,24
902,"Tufts blue Dining Table",$800,3
903,"Royal blue Dining Table",$800,20
904,"Red Chaise Lounge",$235.99,12
905,"Deep pink Chaise Lounge",$235.99,19
906,"Pakistan green Sectional","$1,039.99",12
907,"Minion yellow Plant Stand",$42.99,97
908,"Rubine red Wardrobe",$719.99,87
909,"Dark red Bench",$114.99,56
910,"Queen pink Futon",$219.99,57
911,"Slate gray Dresser",$699.99,75
912,"Pale Dogwood Plant Stand",$42.99,60
913,"Payne's grey End Table",$39.99,100
914,"Spanish carmine Bed",$389.99,18
915,"Burnt umber Coffee Table",$200,14
916,"Avocado Storage Bench",$194.99,82
917,"Brilliant rose Dresser",$699.99,56
918,"Spanish green Stool",$54.99,64
919,"Nickel Storage Bench",$194.99,34
920,"Medium slate blue Sofa",$649.99,29
921,"Han blue Dining Chair",$89.99,72
922,"Granny Smith apple End Table",$39.99,76
923,"Chrome yellow Loveseat",$269.99,49
924,"Rose red Dining Chair",$89.99,99
925,"Timberwolf grey Bed",$389.99,12
926,"Spanish pink Daybed",$311.99,100
927,"Bright green Reclining Loveseat","$1,023.99",78
928,"Android green Reclining Loveseat","$1,023.99",59
929,"Safety yellow Bed",$389.99,98
930,"English violet Bed",$389.99,67
931,"B'dazzled blue Sofa",$649.99,85
932,"Lemon curry Loveseat",$269.99,29
933,"Razzle dazzle rose Headboard",$222.99,22
934,"Honeydew Crib",$289,95
935,"Middle green Ottoman",$52.99,86
936,"Shadow blue Ottoman",$52.99,93
937,"Redwood Dresser",$699.99,66
938,"Slate gray Sofa",$649.99,95
939,"Chocolate Cosmos Dining Chair",$89.99,10
940,"Dark blue-gray Dresser",$699.99,0
941,"Flame Dining Chair",$89.99,44
942,"Copper rose Sectional","$1,039.99",33
943,"Midnight blue Nightstand",$81.99,80
944,"Deep sky blue Dining Chair",$89.99,36
945,"Turquoise Dresser",$699.99,51
946,"Antique ruby Loveseat",$269.99,50
947,"Teal Futon",$219.99,87
948,"Red Salsa Stool",$54.99,28
949,"Redwood Reclining Sofa","$1,119.99",3
950,"Myrtle Dresser",$699.99,38
951,"Phthalo blue Wardrobe",$719.99,24
952,"Spring bud Storage Bench",$194.99,35
953,"Peach puff Nightstand",$81.99,97
954,"Aquamarine Stool",$54.99,48
955,"Quinacridone magenta Bed",$389.99,73
956,"Medium turquoise Sectional","$1,039.99",98
957,"Floral white Reclining Sofa","$1,119.99",99
958,"Spanish green Bench",$114.99,72
959,"Brilliant rose Bed",$389.99,0
960,"KSU purple Dresser",$699.99,86
961,"Flax Dining Chair",$89.99,43
962,"Ghost white Sectional","$1,039.99",70
963,"Pansy purple Loveseat",$269.99,59
964,"Desert sand Sectional","$1,039.99",5
965,"Saddle brown Futon",$219.99,26
966,"Cosmic cobalt Reclining Loveseat","$1,023.99",83
967,"Light green Wardrobe",$719.99,60
968,"Field drab Ottoman",$52.99,15
969,"Arylide yellow Sleeper Sofa","$1,279.99",19
970,"Razzmatazz Nightstand",$81.99,7
971,"Orange-red Dining Table",$800,70
972,"Pale spring bud Headboard",$222.99,36
973,"French lilac Nightstand",$81.99,33
974,"Deep Space Sparkle Sleeper Sofa","$1,279.99",75
975,"Taupe Stool",$54.99,91
976,"Burnt orange Plant Stand",$42.99,65
977,"Dark magenta Reclining Loveseat","$1,023.99",58
978,"Kelly green Daybed",$311.99,4
979,"Tomato red Storage Bench",$194.99,49
980,"Gray Bed",$389.99,8
981,"Space cadet blue Sectional","$1,039.99",61
982,"Khaki Futon",$219.99,17
983,"Super pink Dresser",$699.99,44
984,"Silver chalice Headboard",$222.99,69
985,"Shamrock green Dining Table",$800,54
986,"Lemon yellow Coffee Table",$200,55
987,"Cadmium green Headboard",$222.99,69
988,"Mint cream End Table",$39.99,41
989,"Medium spring green Dresser",$699.99,100
990,"Snow white Ottoman",$52.99,65
991,"Rocket metallic Crib",$289,86
992,"Ebony Dresser",$699.99,76
993,"True Blue Dining Table",$800,71
994,"Dark slate blue Dining Chair",$89.99,19
995,"Harvest gold Daybed",$311.99,67
996,"Middle blue Futon",$219.99,39
997,"Safety yellow Dining Table",$800,85
998,"Rocket metallic Reclining Sofa","$1,119.99",83
999,"Wood brown Daybed",$311.99,52
1000,"Majorelle blue Crib",$289,16
1001,"Tan Daybed",$311.99,8
1002,"Green-yellow Bed",$389.99,28
1003,"Dodger blue Storage Bench",$194.99,16
1004,"Pumpkin Nightstand",$81.99,58
1005,"Steel Teal Storage Bench",$194.99,94
1006,"Dim gray Sleeper Sofa","$1,279.99",88
1007,"Deep Space Sparkle Futon",$219.99,72
1008,"Spanish carmine Crib",$289,59
1009,"Flame Chaise Lounge",$235.99,66
1010,"Illuminating emerald Reclining Sofa","$1,119.99",33
1011,"Persimmon Stool",$54.99,93
1012,"Dark blue-gray Nightstand",$81.99,83
1013,"Tango pink Reclining Loveseat","$1,023.99",90
1014,"Barn red Crib",$289,9
1015,"Amaranth pink Dining Chair",$89.99,32
1016,"Satin sheen gold Dining Table",$800,15
1017,"Rust Nightstand",$81.99,88
1018,"Carnation pink End Table",$39.99,2
1019,"Pink Sectional","$1,039.99",80
1020,"Sweet Brown Futon",$219.99,13
1021,"Dark spring green Coffee Table",$200,82
1022,"Syracuse Orange Futon",$219.99,78
1023,"Bright lilac Bed",$389.99,92
1024,"Kelly green Ottoman",$52.99,97
1025,"Coffee Dresser",$699.99,29
1026,"Rose ebony End Table",$39.99,39
1027,"MSU green Coffee Table",$200,59
1028,"Pink lace Sofa",$649.99,42
